govid|english_name|flags
1890|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|exact agency address,similar agency address,similar agency email
1891|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|similar agency address,similar agency email
1896|KAMPO EMPLOYMENT AGENCY|similar agency address,similar agency email,similar money lender address
1962|HT EMPLOYMENT CENTRE LIMITED|similar money lender address
2097|HAPPY SPRING CARE SERVICE COMPANY|similar agency address
2163|EDELWEISS EMPLOYMENT SERVICES COMPANY LIMITED|similar money lender address
2197|Top Reliance Professionals Deployment Services Company|similar agency address
2205|Ensemble Human Resources Co. Limited|similar agency address,similar agency telephone,similar agency fax
2257|MING MING EMPLOYMENT AGENCY|similar agency address
2306|FORE SIGNAL INTERNATIONAL LIMITED|exact agency address,similar agency email
2510|Abundance Employment Agency|similar agency address
2587|FamilyMaid Employment Services Limited|similar agency telephone,similar agency fax,similar agency email,similar money lender address
2616|REMARKABLE EMPLOYMENT CENTRE|similar agency email
2703|GREEN SELECT EMPLOYMENT SERVICES CO.|similar agency telephone,similar agency fax
2896|HOME OF THE ELDERLY HUMAN RESOURCES CONSULTANTS|similar agency address,similar agency fax
2929|Grand Excellent Intercontinental Recruitment Agency|similar agency fax
3102|UP STAR EMPLOYMENT AGENCY LIMITED|similar agency address,similar money lender address
3160|WIN ELEGANT DEVELOPMENT LIMITED|similar agency address
3163|EDU CO.|similar money lender address
3204|CITY EMPLOYMENT PARADISE CO.|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email
3315|The Health Elements International Limited|similar agency address
3403|Ansin Employment Services|exact agency address,similar agency address,similar agency telephone,similar agency fax
3444|BEM-BEM EMPLOYMENT AGENCY|similar agency address
3519|CORDIAL EMPLOYMENT AGENCY CO|exact agency address,similar agency telephone,similar agency fax
3577|Ensemble Human Resources Co. Limited|similar agency address,similar agency telephone,similar agency fax,similar agency email,similar money lender address
3584|HKBS|exact agency address,similar agency fax
3623|Hong Kong Cambodian Human Resource Association|exact agency address,similar agency telephone,similar agency fax,similar agency email
3624|Hong Kong Cambodian Labour and Vocational Training Centre|exact agency address,similar agency telephone,similar agency fax,similar agency email
3638|WILLPOWER EMPLOYMENT CONSULTANT|similar agency address,similar agency fax
3658|By Your Side (BYS) Employment Centre Limited|similar agency address
3671|LEWESKOOL CONSULTING CO. LIMITED|similar agency address
3744|Forester Employment Agency Limited|exact agency address,similar agency address
3779|Arch Professional Services Limited|similar agency address
3785|Megasea Employment Agency Limited|similar agency email
3791|Perfect Helpers Limited|exact agency address,similar agency address,similar agency telephone
3806|BBDS TRADING|similar agency address,similar money lender address
3819|GOOD COMPANION EMPLOYMENT CENTER|similar agency address
3822|GALILEE EMPLOYMENT SERVICE COMPANY|exact agency address,similar agency telephone,similar agency fax
3844|Helper Adviser Limited|exact agency address,similar money lender address
3894|MISSION EMPLOYMENT AGENCY LIMITED|similar agency address
3905|Takecare Employment Agency|similar agency address
3914|Pinnacle and Associates Limited|exact agency address,similar agency address,similar money lender address
3917|POWERFUL JOINER LIMITED|similar agency email
3918|POWERFUL JOINER LIMITED|similar agency email
3940|GALILEE EMPLOYMENT SERVICE COMPANY|similar agency telephone,similar agency fax
3945|KL HOME CARE LIMITED|exact agency address,similar agency email
3975|ZYT CONSULTANT COMPANY|exact agency address
4034|Smart Joy Employment Agency|similar agency address
4040|GO GO CONSULTANCY|similar money lender address
4051|EMINENT TALENTS|similar agency address,similar agency fax
4069|MANNA EMPLOYMENT AGENCY COMPANY LIMITED|similar agency telephone,similar agency fax,similar agency email
4070|MANNA EMPLOYMENT AGENCY COMPANY LIMITED|similar agency telephone,similar agency fax,similar agency email
4114|KL HOME CARE LIMITED|exact agency address,similar agency email
4122|Helperspro Employment Agency Limited|similar agency address,similar agency telephone,similar agency email
4160|IN ONE PIECE EMPLOYMENT AGENCY|similar agency address
4174|Joyfuleasy Employment Agency|similar agency address
4176|HOLY EMPLOYMENT CENTRE LIMITED|exact agency address,similar agency telephone,similar agency email
4187|Happiness (HK) Overseas Employment Consultants Limited|exact agency address,similar agency address,similar money lender address
4190|Ho Yip Employment Agency Limited|exact agency address,similar agency telephone,similar agency email
1|OVERSEAS EMPLOYMENT CENTRE LTD.|similar agency address
3|OVERSEAS EMPLOYMENT CENTRE LTD.|similar money lender address
6|OVERSEAS EMPLOYMENT CENTRE LTD.|similar agency address
14|Top Services and Company|similar agency address,similar agency telephone,similar agency fax,similar agency email
41|Access Employment Services|similar agency address
53|Finest International Limited|exact agency address,similar agency telephone,similar agency fax
54|Finest International Limited|exact agency address,similar agency address,similar agency fax
64|Superiority International Limited|exact agency address,similar agency address,similar agency telephone,similar agency fax
67|Hong Kong Labour & Manpower Consultants|similar agency address
70|Great Top Employment Service Centre|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email
71|Advance Court Overseas Employment Co.|similar agency address
75|Silver Region Development Limited|exact agency address,similar agency address,similar agency email,similar money lender address
76|Suryapacific Jaya Limited|similar agency address
86|D.D. Domestic Services|exact agency address,similar agency telephone,similar agency fax,similar agency email
91|Wellmark Employment Services Consultant|exact agency address,similar agency address,similar agency fax,similar agency email
93|Wellmark Employment Services Consultant|similar agency address,similar agency email
99|Safe Trading Co|similar agency address,similar money lender address
102|Trustworthy Consultants|similar agency address,similar money lender address
128|Balley Management Services|similar agency address
147|Wintip Employment Services Limited|exact agency address,similar agency address,similar agency email,similar money lender address
168|Smart Metro Consultants Limited|similar agency address
171|Right Man Consultants Limited|exact agency address,similar agency address,similar agency fax
179|C.T. Maids Limited|exact agency address,similar agency fax,similar agency email
180|Elegant Employment Agency|similar agency address,similar money lender address
184|Sharp Rich Investment Limited|similar agency address
198|EMPLOYMENT WORLD|exact agency address,similar agency address,similar agency fax
201|J.V.S. Investments|exact agency address,similar agency address
203|LUXERY COMPANY|similar agency address
208|Mabros Employment Agency|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email
221|SACRED HEART INTERNATIONAL CONSULTANTS|similar agency address,similar agency telephone,similar agency fax
222|ASIA-ONE EMPLOYMENT AGENCY|similar agency fax,similar agency email
223|ASIA-ONE EMPLOYMENT AGENCY|similar agency address,similar agency fax,similar agency email
230|Hoi Shing Man Power Agency|similar agency address,similar money lender address
248|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|similar agency telephone
254|Loyal Servant Employment Agency|similar agency address
256|CHOW'S FAMILY SERVICES CO|similar agency address,similar money lender address
259|Gold Tech Employment Agency|similar agency address
265|Mrs. MA's Employment Services|similar agency address,similar agency telephone,similar agency fax,similar agency email,similar money lender address
274|PBI Employment Services & Trading Company|exact agency address,similar agency fax
283|Nation Employment Agency Limited|similar agency address,similar money lender address
291|Megasea Employment Agency Limited|similar agency address,similar agency email
292|Megasea Employment Agency Limited|exact agency address,similar agency address,similar agency email
293|Megasea Employment Agency Limited|similar agency address,similar agency email
294|Megasea Employment Agency Limited|similar agency address,similar agency email
298|Way Tech Consultants Company|similar agency address,similar agency telephone,similar agency fax
302|Technic Employment Service Centre Limited|similar agency address,similar agency telephone
303|Technic Employment Service Centre Limited|similar agency address
304|Technic Employment Service Centre Limited|similar agency address
305|Technic Employment Service Centre Limited|similar agency address,similar money lender address
309|Excel Choice Employment Services Limited|exact agency address,similar agency fax
310|Josie James Integrated Personnel Consultancy|similar agency address,similar money lender address
313|Goldtime Employment Agency|similar agency address
322|Right Choice Overseas Employment Centre Limited|similar agency fax,similar agency email
328|Family Care Employment Agency|similar agency address,similar money lender address
334|Pak Yue Employment Agency Centre Limited|exact agency address
337|Asia International Employment Agency Company|similar agency address,similar money lender address
341|Hok Tsui Company|similar agency address
345|Full Win Employment Agency|similar agency address
353|Maid Home Employment Agency|exact agency address,similar agency address,similar agency telephone,similar agency fax
359|Caring Employment Centre|exact agency address,similar agency address,similar agency telephone,similar agency fax
365|B & C Employment Agency|similar agency address
366|Romy Employment Services|similar agency address,similar agency telephone,similar agency fax,similar agency email
371|Wai Wai Company|similar agency address
376|Sunlight Employment Agency|similar agency address,similar money lender address
378|Sunlight Employment Agency|similar agency address
379|Sunlight Employment Agency|similar agency address
381|Sunlight Employment Agency|similar agency address
382|Sunlight Employment Agency|similar agency address
383|Sunlight Employment Agency|similar agency address
386|Sunlight Employment Agency|similar agency address,similar money lender address
395|Bestwell Employment Agency (HK) Limited|exact agency address
406|SUNTEK ENTERPRISE LIMITED|exact agency address,similar agency address
414|Domestic Helper Employment Centre|similar agency address
415|Well Harmony Employment Services|similar agency address
423|Comfort Domestic Services|similar agency address,similar money lender address
424|Home De Fairy Consultants Limited|exact agency address,similar agency telephone,similar agency fax,similar agency email
426|K. D. Employment Agency|similar agency address
433|A.V.M.S. Limited|similar agency address,similar money lender address
434|A.V.M.S. Limited|similar agency address
439|Pak On (Hong Kong) Company Limited|exact agency address,similar agency fax
442|Top Dragon Employment Agency|similar agency address
456|Asia Well Employment Service|similar agency address,similar money lender address
458|New Sun Moon Employment Trading Co.|similar agency address
460|Pessen Technology Limited|exact agency address,similar agency address,similar agency telephone,similar agency email
482|Smart Team Employment Agency Center Company Limited|similar agency address
488|New Star Co|similar agency address
501|Efficient Employment Services|similar agency address
502|Frank Express Employment Centre|similar agency address
513|The Searchers Human Resources Co.|similar agency address,similar agency telephone,similar agency fax,similar money lender address
521|New Town Employment Agency|exact agency address,similar agency fax,similar agency email,similar money lender address
525|CROWN BRILLIANT AGENCY LIMITED|exact agency address,similar agency address
526|Wise Future Employment Services Centre|similar agency address
527|Sung Care Employment Agency|similar agency address
532|H W Employment Agency Centre|similar agency address,similar agency fax
536|LEADER EMPLOYMENT COMPANY LIMITED|similar agency email
537|LEADER EMPLOYMENT COMPANY LIMITED|similar agency address,similar agency telephone,similar agency email
539|LEADER EMPLOYMENT COMPANY LIMITED|similar agency telephone,similar agency email
540|LEADER EMPLOYMENT COMPANY LIMITED|similar agency email
541|LEADER EMPLOYMENT COMPANY LIMITED|similar agency address,similar agency email
542|LEADER EMPLOYMENT COMPANY LIMITED|similar agency address,similar agency email
544|Sodo Sakti Dewi Co|similar agency address,similar money lender address
547|Foreign Maid Employment Agency|similar agency address,similar agency telephone,similar agency fax
557|Get Maid Agency|similar agency address,similar agency fax,similar agency email
558|Get Maid Agency|similar agency address,similar agency fax,similar agency email,similar money lender address
568|Ming Hay Employment Services Company|similar agency address
572|Jumbo International Maid Employment Agency|similar agency email
573|Jumbo International Maid Employment Agency|similar agency address,similar agency email
574|Jumbo International Maid Employment Agency|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email
576|Ming Tak Services Company|similar agency address,similar agency fax,similar agency email
579|Elise Consultant|similar agency address,similar money lender address
580|Beautiful House Employment Agency|similar agency address,similar money lender address
592|Concord Professional Employment Service Centre|similar agency address,similar money lender address
595|ABNC EMPLOYMENT AGENCIES CO.|similar agency address,similar money lender address
604|M & M Development Company Limited|similar agency address
607|Four Seas Employment Agency|similar agency address
608|Great Possession Employment Agency|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar money lender address
609|Great Possession Employment Agency|similar agency address,similar money lender address
610|Bright Essence International Limited|exact agency address,similar agency fax,similar agency email
611|Yat Yin Domestic Helper Agency|similar agency address
616|California Employment Agency|similar agency address
619|SVC DEVELOPMENT CO.|similar agency telephone,similar agency fax,similar agency email
622|Anlida|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email,similar money lender address
633|Markwell Service Company|exact agency address,similar agency address,similar agency fax
634|O & S Employment Agency|similar agency address,similar agency telephone,similar agency email,similar money lender address
635|O & S Employment Agency|similar agency address,similar agency telephone,similar agency email,similar money lender address
642|Hong Maid Employment Agency|similar agency address
647|Well House Employment Service Limited|similar agency address,similar money lender address
648|K and B Employment Centre|similar agency address
649|K and B Employment Centre|similar agency address
653|Rejoice Employment Services Limited|exact agency address,similar agency fax
666|Pawer Express International Company Limited|exact agency address,similar agency telephone,similar agency email
670|An Apple Travel & Employment Services Limited|similar money lender address
683|Hung Chau Company Limited|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar money lender address
692|Top Wealth Employment Agency|similar agency address
696|Find a Foreign Employer Agency|similar agency address
698|C & R Employment Agency|similar agency address,similar money lender address
705|Kasa Maid Agency Limited|similar agency address
706|Kasa Maid Agency Limited|similar agency address,similar agency fax,similar agency email,similar money lender address
707|Kasa Maid Agency Limited|exact agency address,similar agency address,similar agency telephone
708|Kasa Maid Agency Limited|similar agency address
711|Nan Fung Employment Service Centre Limited|similar agency address
718|Goal Miles Overseas Employment Company|similar agency address
729|Kindly Employment Services|similar agency address
731|Goodwill Placement Services Limited|exact agency address,similar agency address
735|Hung Fai (HK) Employment Agency Limited|exact agency address
761|Arrow Employment Services|similar agency telephone,similar agency fax,similar agency email
763|Colorfly Employment Services Limited|exact agency address,similar agency address
780|J C Casa Recruitment Agency|similar agency email
781|J C Casa Recruitment Agency|similar agency address,similar agency email
782|J C Casa Recruitment Agency|similar agency address,similar agency email
794|ASIA RAINBOW EMPLOYMENT SERVICES CENTRE|similar agency address,similar money lender address
795|Mei Foo Employment Agency Limited|similar agency address
797|Tai Tung Employment Service|exact agency address,similar agency address
810|Pacific Garden Employment Agency|exact agency address,similar agency telephone,similar agency fax
820|A & E Employment Centre|exact agency address,similar agency address,similar agency telephone,similar agency fax
821|A & E Employment Centre|exact agency address,similar agency address,similar money lender address
822|A & E Employment Centre|exact agency address,similar agency address,similar agency telephone,similar agency fax
823|A & E Employment Centre|exact agency address,similar agency address,similar agency telephone,similar agency fax
864|DK & C Employment Service Co.|exact agency address,similar agency address,similar agency fax
865|Chin House Employment Agency Limited|similar agency address,similar agency email
868|Chin House Employment Agency Limited|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email
876|VIEW RISE MAID SERVICE|similar agency address,similar agency fax
878|VIEW RISE MAID SERVICE|similar agency address
884|Maid Link Employment Services Limited|similar agency address,similar money lender address
885|Instant Maids Centre Limited|similar money lender address
889|SKY EMPLOYMENT SERVICE COMPANY LIMITED|similar agency address,similar agency telephone,similar agency fax
896|STAR CARE EMPLOYMENT AGENCY|similar agency address,similar agency telephone,similar agency fax
899|SUNWOOD EMPLOYMENT CENTRE|similar agency address
900|UNITED ASIA EMPLOYMENT AGENCY|exact agency address,similar agency fax
914|BIR EMPLOYMENT AGENCY LIMITED|similar agency address,similar agency email
927|SAINT HAPPY MAIDS AGENCY|similar agency address
928|SAINT HAPPY MAIDS AGENCY|exact agency address,similar agency address
932|WEALTHY GOLD CONSULTANT LIMITED|similar agency address
937|Premier Employment Consultant|exact agency address
951|Care Ford Employment Agency|similar agency address
953|Fancy Employment Agency|similar agency address
956|Royalcorp Employment Agency Limited|exact agency address,similar agency fax
971|Nitschke Employment Co.|similar agency address,similar money lender address
983|SANRICH EMPLOYMENT CENTRE LIMITED|similar agency address
986|Homes Employment Agency Limited|exact agency address,similar agency address,similar money lender address
995|Gembira Employment Agency|similar agency address,similar money lender address
1029|Tailormaid Consultants Company Limited|similar agency address,similar money lender address
1030|BLISS EMPLOYMENT SERVICES LIMITED|exact agency address,similar agency telephone,similar agency fax,similar agency email
1061|Precious Legend Employment Centre|similar agency address
1069|Happy J Employment Agency|similar agency address
1081|WD Employment Agency Co.|similar agency address
1082|Perfect Solution Employment Agency|similar agency address,similar money lender address
1102|SUMMER EMPLOYMENT SERVICE CENTRE|similar agency address
1110|PROTECTIVE EMPLOYMENT SERVICE COMPANY|similar agency address,similar agency telephone,similar agency fax
1122|TSUEN SHING EMPLOYMENT AGENCY|similar agency address
1124|BUNGA RAYA MILLENNIUM HUMAN RESOURCES|similar agency address
1129|M&T; DOMESTIC SERVICES CO|similar agency address
1145|NOW EMPLOYMENT AGENCY|exact agency address,similar agency fax
1160|INDO INDAH EMPLOYMENT AGENCY|similar agency address,similar money lender address
1166|High Quality Agency Limited|similar agency address
1170|C & D EMPLOYMENT AGENCY|similar agency fax
1174|Grand Royal (AFT) Employment|similar agency address,similar agency telephone,similar agency fax
1214|YOURMAID SERVICES CENTRE LIMITED|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email
1217|Metro Asia Recruitment Services Co.|similar agency address
1226|VCARE EMPLOYMENT SERVICES LIMITED|exact agency address,similar agency fax
1227|VCARE EMPLOYMENT SERVICES LIMITED|similar agency address
1238|Ben Employment Agency|similar agency address
1242|CILIWUNG LIMITED|exact agency address
1246|Good Maid Employment Services Limited|similar agency address,similar money lender address
1254|TAK CHEONG EMPLOYMENT CO|similar agency address,similar money lender address
1260|PO MING EMPLOYMENT LIMITED|similar agency address
1262|PO MING EMPLOYMENT LIMITED|similar agency address
1265|Enjoy Services Centre Limited|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email
1267|KA ON EMPLOYMENT COMPANY|similar agency address
1282|Sunny Day Employment Agency|exact agency address,similar agency address,similar agency telephone,similar agency fax
1285|MAIDSLAND EMPLOYMENT AGENCY|similar agency address,similar agency fax
1291|Skytrend Employment Agency|similar agency address
1304|MEGADIME CONSULTANT|similar agency address,similar money lender address
1315|KAH KAH EMPLOYMENT|similar agency address,similar agency email
1317|ALL THE BEST EMPLOYMENT LIMITED|similar agency telephone,similar agency fax
1319|SPECIAL ZONE OVERSEAS EMPLOYMENT (HONG KONG) LIMITED|similar agency address
1371|Stone Employment Agency|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar money lender address
1390|Space Employment Agency|similar agency address,similar money lender address
1399|FURTHER CREATION EMPLOYMENT CENTRE|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email
1400|FURTHER CREATION EMPLOYMENT CENTRE|exact agency address,similar agency telephone,similar agency fax,similar agency email
1403|STEP ONE EMPLOYMENT AGENCY|similar agency address
1414|WAIKIKI SERVICES & TRADING|similar agency address,similar money lender address
1416|Perfect Maid Centre|similar agency address,similar agency fax
1419|P & P Employment Agency Limited|similar agency address
1426|OSCAR EMPLOYMENT CENTRE|exact agency address,similar agency address
1438|J.C. SO (HONG KONG) RECRUITMENT AGENCY|similar agency address,similar agency email
1445|Asia-Ex Employment Centre|exact agency address,similar agency address,similar agency email
1456|SUPER MAID LIMITED|similar agency address,similar agency email
1461|EVER POWER SERVICE CO.|similar agency address,similar money lender address
1466|NEW WISH EMPLOYMENT AGENCY|exact agency address,similar agency address,similar agency fax
1470|Peony Employment Agency Limited|exact agency address,similar agency address,similar money lender address
1476|FUN FUN SERVICE LIMITED|similar agency address,similar money lender address
1485|MADAM JOE PROFESSIONAL DOMESTIC SERVICES COMPANY|similar agency address,similar money lender address
1496|St. Joseph's Employment Consultants|similar agency address,similar agency fax,similar agency email,similar money lender address
1512|Berkah Employment Consultant Centre|similar agency address,similar money lender address
1528|Top Aid Employment & Travel Services|similar agency address
1539|L AND A EMPLOYMENT AGENCY|similar agency address,similar money lender address
1546|JL Employment Centre|similar agency address,similar agency fax,similar agency email,similar money lender address
1549|LUCKY MAIDS JOB CENTRE|exact agency address,similar agency address,similar agency fax
1552|PRIME-MAID EMPLOYMENT AGENCY|similar agency address,similar money lender address
1565|Job Leader Profession Consultant|similar agency address
1567|TOTAL RICH FUND LIMITED|exact agency address,similar agency address
1574|Fu Yat Employment Company|similar agency address
1576|C & C Oversea Employment Company|similar agency email
1577|C & C Oversea Employment Company|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email
1579|Lotus Employment Agency|similar agency address,similar agency email
1580|Lotus Employment Agency|similar agency address,similar agency email
1581|Lotus Employment Agency|similar agency email
1582|Lotus Employment Agency|similar agency email
1590|Ngai Kan Employment Agency|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email,similar money lender address
1602|Graceful-worker Employment Agency|similar agency address,similar money lender address
1618|ON FAT EMPLOYMENT CO. LIMITED|exact agency address,similar agency address
1624|SHUN FAT EMPLOYMENT CO|exact agency address,similar agency telephone,similar agency email
1630|HOUSE MAID AGENCY LIMITED|similar agency address
1631|HOUSE MAID AGENCY LIMITED|similar agency address,similar money lender address
1644|Prudential Employment Agency|similar agency address
1649|Hong Kong DH Employment Centre|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email
1651|VIVA EMPLOYMENT SERVICES LIMITED|exact agency address,similar agency fax,similar agency email
1653|Dragon Castle Employment Agency Limited|similar agency address,similar agency fax
1664|R.O.A. Personnel and Employment Agency|similar agency address,similar money lender address
1668|PLEASANT HOUSE EMPLOYMENT CENTRE LIMITED|exact agency address
1670|Finished Contract Employment Center|exact agency address,similar agency address
1672|FAN IN EMPLOYMENT AGENCY LIMITED|similar agency address
1673|MRS. HUI EMPLOYMENT AGENCY|exact agency address,similar agency address,similar agency telephone,similar agency email
1674|Hong Kong Maid Agency|similar agency address
1690|MY SWEET HOME EMPLOYMENT AGENCY|similar agency address,similar agency telephone,similar agency fax
1691|WANG FULLCO EMPLOYMENT AGENCY LIMITED|exact agency address,similar agency telephone,similar agency fax
1724|Loyalty Team Employment Agency|similar agency address,similar agency email,similar money lender address
1725|Loyalty Team Employment Agency|similar agency address,similar agency email,similar money lender address
1733|ROYAL HOUSE EMPLOYMENT AGENCY|exact agency address,similar agency address
1737|HAPPY HOUSE EMPLOYMENT AGENCY|exact agency address,similar agency telephone,similar agency fax,similar agency email
1779|GBjobs.com Limited|similar agency address
1796|Bandung Enterprises|similar agency address,similar agency fax,similar agency email
1818|Grand Palace Employment Agency Centre|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email,similar money lender address
1829|FORTUNE STAR EMPLOYMENT AGENCY|exact agency address
1831|WING FAI EMPLOYMENT LIMITED|similar agency address
1843|Island Employment Service Company|similar agency address
1848|MR. RIGHT EMPLOYMENT CENTRE|exact agency address,similar agency address,similar agency fax
1858|NICOLE'S EMPLOYMENT CONSULTANTS|exact agency address,similar agency telephone,similar agency email
1862|JET SYSTEM PACIFIC LIMITED|similar agency address
1876|TOP WORLDWIDE PROFESSIONAL SERVICES CO.|similar agency address,similar money lender address
1882|HO MAN EMPLOYMENT AGENCY|exact agency address,similar agency fax,similar agency email,similar money lender address
1889|NAULI EMPLOYMENT AGENCY COMPANY LIMITED|exact agency address,similar agency telephone,similar agency fax,similar agency email
1892|WAH YING EMPLOYMENT CENTRE|similar agency address
1895|KAMPO EMPLOYMENT AGENCY|similar agency email
1899|THREE STAR EMPLOYMENT AGENCY LIMITED|similar agency address
1920|TOP RESOURCES CONSULTANCY COMPANY|exact agency address,similar agency address,similar agency telephone,similar agency fax
1936|Smart B Employment Service Co.|similar agency address
1941|Mamie Employment Centre Limited|exact agency address,similar agency telephone,similar agency fax,similar agency email
1947|Excel Famous Domestic Helper Consultant Limited|similar agency telephone,similar agency email
1965|Yuk Fai Employment Agency|similar agency address
1968|Yuk Fai Employment Agency|similar agency address
1998|LINK HEART EMPLOYMENT|similar agency address
2001|FAVOR MAID EMPLOYMENT AGENCY|exact agency address,similar agency telephone,similar agency fax,similar agency email
2004|ENDURANCE EMPLOYMENT AGENCY|exact agency address
2007|S & B Employment & Travel Centre|similar agency fax
2009|NEW FORSEE EMPLOYMENT AGENCY|exact agency address,similar agency address,similar agency fax
2016|GRACEFUL TRAVEL COMPANY|exact agency address,similar agency address,similar money lender address
2050|Hong Kong Financial Talent Consultant Company Limited|exact agency address,similar agency address
2052|Hong Kong Financial Talent Consultant Company Limited|exact agency address,similar money lender address
2068|SUKI EMPLOYMENT SERVICE COMPANY|similar agency address
2108|R&E; Employment Agency|similar agency address,similar money lender address
2124|FAI SING (HONG KONG) LIMITED|exact agency address,similar agency telephone,similar agency fax
2129|Unlimited Source Co.|similar agency address
2147|GUARDIAN EMPLOYMENT AGENCY|similar agency address
2153|JOIN-UP|similar agency address,similar money lender address
2154|JOIN-UP|similar agency address,similar money lender address
2156|FIORI MEGA STAR EMPLOYMENT AGENCY LIMITED|exact agency address,similar agency address,similar agency fax,similar agency email
2164|UNITED FAMILY EMPLOYMENT AGENCY|similar agency address,similar agency fax
2170|Easy Maid Employment Agency Limited|similar agency address,similar money lender address
2184|CHAMPION EMPLOYMENT|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email,similar money lender address
2190|BONBON EMPLOYMENT AGENCY CENTRE|similar agency address,similar money lender address
2194|Rising Sun Employment Agency|exact agency address,similar agency address,similar agency fax
2211|Tomato Employment Service Co. Limited|similar agency address
2220|SZE YUEN AGENCY CO|similar agency address,similar money lender address
2221|Dickson Employment Agency|exact agency address
2222|MANDA EMPLOYMENT LIMITED|similar agency address
2232|OEC OVERSEAS EMPLOYMENT CENTRE|similar agency address,similar agency email
2250|HOME CARE EMPLOYMENT AGENCY LIMITED|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email,similar money lender address
2272|CHAN'S ASIA RECRUITMENT CENTRE|similar agency address
2282|HAVE MAID EMPLOYMENT AGENCY|similar agency address,similar money lender address
2289|GRANDE EMPLOYMENT CENTRE|similar agency address,similar money lender address
2292|FIRST CAPITAL RESOURCES GROUP LIMITED|exact agency address,similar agency address,similar agency telephone,similar agency fax,similar agency email
