english_name,chinese_name,address
english_name,chinese_name,address
LI CHEUNG SHUN|李長順 營業名稱 昀達印尼什貨|SHOP D1316, YAU OI MARKET, TUEN MUN, NEW TERRITORIES
LI CHI LOK|李梓樂 營業名稱 東升|SHOP 26, SHA KOK ESTATE MARKET, SHA TIN, NEW TERRITORIES
LI CHI WING TRADING AS TOKO PRODUK INDONESIA|李之榮 營業名稱 椰林印尼土產|SHOP M36, FORTUNE CITY ONE MARKET, SHA TIN, NEW TERRITORIES
KINGS CROWN DEVELOPMENT LIMITED|啟冠發展有限公司|FLAT C2, 11/F, ETON BUILDING, 288 DES VOEUX ROAD CENTRAL, SHEUNG WAN, HONG KONG
KITE GROUP LIMITED|None|3/F, HONG KONG &#38; MACAU BUILDING, 156-157 CONNAUGHT ROAD CENTRAL, SHEUNG WAN, HONG KONG
KITKULKARN, SIRINTHARN TRADING AS THAI GAN AYNG MONEY EXCHANGE|胡思雅 營業名稱 泰友找換|STALL NO. S124, TUEN MUN SAN HUI MARKET, TUEN MUN, NEW TERRITORIES
KO CHI CHUEN TRADING AS TEIN SHUN EXCHANGE|高志全 營業名稱 天信人民幣找換行|SHOP D, 21 WATERLOO ROAD, YAU MA TEI, KOWLOON
KO CHI CHUEN TRADING AS TEIN SHUN EXCHANGE|高志全 營業名稱 天信人民幣找換行|SHOP G2, ONWARD BUILDING, 528 NATHAN ROAD, YAU MA TEI, KOWLOON
KO CHI CHUEN TRADING AS TEIN SHUN EXCHANGE|高志全 營業名稱 天信人民幣找換行|UNIT 2, SHOP C-D, G/F, 543 NATHAN ROAD, YAU MA TEI, KOWLOON
KONG FUNG FOREIGN CURRENCY (RMB) EXCHANGE LIMITED|港豐外幣(人民幣)找換有限公司|SHOP 13, G/F, CAUSEWAY CENTRE, 28 HARBOUR ROAD, WAN CHAI, HONG KONG
KONG FUNG FOREIGN CURRENCY (RMB) EXCHANGE LIMITED|港豐外幣(人民幣)找換有限公司|SHOP B2, G/F, KAM KOON BUILDING, 310-312 LOCKHART ROAD, WAN CHAI, HONG KONG
KONG FUNG RMB (FOREIGN) EXCHANGE LIMITED|港豐人民幣(外幣)找換有限公司|SHOP G5, G/F, GOODFIT COMMERCIAL BUILDING, 7 FLEMING ROAD, WAN CHAI, HONG KONG
KONG FUNG RMB (FOREIGN) EXCHANGE LIMITED|港豐人民幣(外幣)找換有限公司|SHOP 6, G/F, ATTILIO BUILDING, 579 NATHAN RD, MONG KOK, KOWLOON
KONG FUNG RMB (FOREIGN) EXCHANGE LIMITED|港豐人民幣(外幣)找換有限公司|SHOP 115, G/F, HIP SANG BLDG, 107-115 HENNESSY RD, WAN CHAI, HONG KONG
KONG FUNG RMB (FOREIGN) EXCHANGE LIMITED|港豐人民幣(外幣)找換有限公司|SHOP 6A, G/F, SOUTHORN  CENTRE, 113 JOHNSTON ROAD, WAN CHAI, HONG KONG
KONG FUNG RMB (FOREIGN) EXCHANGE LIMITED|港豐人民幣(外幣)找換有限公司|SHOP 2, G/F, SUN FUNG HOUSE, 2 ARGYLE STREET, MONG KOK, KOWLOON
KONG FUNG RMB (FOREIGN) EXCHANGE LIMITED|港豐人民幣(外幣)找換有限公司|SHOP 51, G/F, COMMERCIAL PODIUM SINCERE HOUSE, 83 ARGYLE STREET, MONG KOK, KOWLOON
KONG FUNG RMB EXCHANGE DEVELOPMENT LIMITED|港豐人民幣找換發展有限公司|PORTION OF SHOP A1, G/F, 139 PRINCE EDWARD ROAD WEST, MONG KOK, KOWLOON
KONG FUNG RMB EXCHANGE DEVELOPMENT LIMITED|港豐人民幣找換發展有限公司|SHOP B, G/F, YUE ON BUILDING, 146-148 LOCKHART ROAD, WAN CHAI, HONG KONG
KONG FUNG RMB EXCHANGE REMITTANCE LIMITED|港豐人民幣找換匯款有限公司|UNIT 79, 80,82, KING&#39;S PARK LANE, 278-288 KING&#39;S ROAD, NORTH POINT, HONG KONG
KONG FUNG RMB EXCHANGE REMITTANCE LIMITED|港豐人民幣找換匯款有限公司|SHOP 10, G/F, WAH PO MANSION, 2-16 KI LUNG STREET, SHAM SHUI PO, KOWLOON
KONG FUNG RMB EXCHANGE REMITTANCE LIMITED|港豐人民幣找換匯款有限公司|SHOP 2A, G/F, YAU KWONG BLDG, 418-430 HENNESSY RD, WAN CHAI, HONG KONG
KONG FUNG RMB EXCHANGE REMITTANCE LIMITED|港豐人民幣找換匯款有限公司|SHOP E, G/F, SILVER COMMERCIAL BUILDING, 719 NATHAN ROAD, MONG KOK, KOWLOON
KONG FUNG RMB EXCHANGE REMITTANCE LIMITED|港豐人民幣找換匯款有限公司|SHOP C1, G/F, CHAMPAGNE COURT, 18 KIMBERLEY ROAD, TSIM SHA TSUI, KOWLOON
KONG FUNG RMB REMITTANCE EXCHANGE LIMITED|港豐人民幣匯款找換有限公司|SHOP E, G/F, HONG KONG MANSION, 137-147 LOCKHART ROAD, WAN CHAI, HONG KONG
KONG FUNG RMB REMITTANCE EXCHANGE LIMITED|港豐人民幣匯款找換有限公司|SHOP 3, G/F, GOLDEN CENTRE, 188 DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG
KONG FUNG RMB REMITTANCE EXCHANGE LIMITED|港豐人民幣匯款找換有限公司|G/F, WAI YIP COMMERCIAL BUILDING, 100 DES VOEUX ROAD CENTRAL, CENTRAL, HONG KONG
KONG FUNG RMB REMITTANCE EXCHANGE LIMITED|港豐人民幣匯款找換有限公司|SHOP A, G/F, 90 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES
KONG FUNG RMB REMITTANCE EXCHANGE LIMITED|港豐人民幣匯款找換有限公司|SHOP 5, G/F, BIJOU APARTMENTS, 157 PRINCE EDWARD ROAD WEST, MONG KOK, KOWLOON
KONG FUNG RMB REMITTANCE EXCHANGE LIMITED|港豐人民幣匯款找換有限公司|SHOP A, FRONT PORTION, G/F, 46 MONG KOK ROAD, MONG KOK, KOWLOON
KONG FUNG RMB REMITTANCE EXCHANGE LIMITED|港豐人民幣匯款找換有限公司|SHOP 77, 1/F, THE PODIUM ADMIRALTY CENTRE, 18 HARCOURT RD, ADMIRALTY, HONG KONG
KONG FUNG RMB REMITTANCE EXCHANGE LIMITED|港豐人民幣匯款找換有限公司|FLAT G02 &#38; G03, G/F, PENINSULA CENTRE, 67 MODY ROAD, TSIM SHA TSUI, KOWLOON
KONG HING RENMINBI EXCHANGE (REMIT) LIMITED|港興人民幣找换(匯款)有限公司|G/F, 189 HENNESSY ROAD, WAN CHAI, HONG KONG
KONG HING RENMINBI EXCHANGE (REMIT) LIMITED|港興人民幣找换(匯款)有限公司|UNIT 1, G/F, KING&#39;S PARK LANE, 288 KING&#39;S ROAD, NORTH POINT, HONG KONG
KONG HING RENMINBI EXCHANGE (REMIT) LIMITED|港興人民幣找换(匯款)有限公司|SHOP C1, G/F, YUE ON BUILDING, 146-148 LOCKHART ROAD, WAN CHAI, HONG KONG
KONG HING RENMINBI EXCHANGE (REMIT) LIMITED|港興人民幣找换(匯款)有限公司|SHOP C, G/F, PAK PO MANSIONS, 84 BUTE STREET, MONG KOK, KOWLOON
KONG HING RENMINBI EXCHANGE (REMIT) LIMITED|港興人民幣找换(匯款)有限公司|SHOP 3A, G/F, 123 FUK WA STREET, SHAM SHUI PO, KOWLOON
KONG HING RENMINBI EXCHANGE (REMIT) LIMITED|港興人民幣找换(匯款)有限公司|G/F, 230 DES VOEUX ROAD WEST, SAI YING PUN, HONG KONG
KONG HING RENMINBI EXCHANGE (REMIT) LIMITED|港興人民幣找换(匯款)有限公司|STAIRCASE G/F, 28-30 ARGYLE STREET, MONG KOK, KOWLOON
KONG HING RENMINBI EXCHANGE (REMIT) LIMITED|港興人民幣找换(匯款)有限公司|G/F, 277 DES VOEUX RD CENTRAL, CENTRAL, HONG KONG
KONG HING RENMINBI EXCHANGE (REMIT) LIMITED|港興人民幣找换(匯款)有限公司|SHOP G9, G/F, PENINSULA CENTRE, 67 MODY RD, TSIM SHA TSUI, KOWLOON
KONG KAI CHUNG TRADING AS PO HING HO|江啟聰 營業名稱 寶興號|SHOP C3, G/F, CHUNG NAM MANSION, 86-88 MA TAU CHUNG ROAD, TO KWA WAN, KOWLOON
KONG SHING FINANCIAL GROUP LIMITED|港盛金融集團有限公司|SHOP B, G/F, ON MAY MANSION, 595-599A SHANGHAI STREET, 6A-6C ARGYLE STREET, MONG KOK, KOWLOON
KS ASIA MARKET COMPANY LIMITED|金盛東南亞食品百貨有限公司|SHOP A, G/F, IV-IY MARVEL BLDG, 1 MARBLE ROAD, NORTH POINT, HONG KONG
KSTARS HOLDING CO., LIMITED|跨境易控股有限公司|ROOM 11, 28/F, HONG KONG PLAZA, 188 CONNAUGHT ROAD WEST, SAI YING PUN, HONG KONG
KUAN INC LIMITED|快款科技有限公司|1450, 14/F, RADIO CITY, 505-511 HENNESSY ROAD, CAUSEWAY BAY, HONG KONG
KURAIMI EXPRESS LIMITED|None|ROOM 1821, 18/F, RADIO CITY, 505-511 HENNESSY ROAD, CAUSEWAY BAY, HONG KONG
KVB KUNLUN TRADING (HONG KONG) LIMITED|昆侖國際貿易(香港)有限公司|FLAT 6801, 68/F, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, JORDAN, KOWLOON
KWAN WAI FONG TRADING AS MING TAK MONEY EXCHANGE|關慧芳 營業名稱 明德找換店|REAR PORTION, G/F, 158 ABERDEEN MAIN ROAD, ABERDEEN, HONG KONG
KWAN YEE INTERNATIONAL TRADING LIMITED|鈞誼國際貿易有限公司|SHOP 101, G/F, BLOCK B, I-FENG MANSION, 237-239 TO KWA WAN ROAD, TO KWA WAN, KOWLOON
KWOK HAK MUI TRADING AS COM PO REMINBI EXCHANGE|郭克妹 營業名稱 金宝人民幣找換店|SHOP UNIT P42, TELFORD PLAZA, 33 WAI YIP STREET, KOWLOON BAY, KOWLOON
KWOK HING RENMINBI EXCHANGE SHOP|國興人民幣找換行|PORTION B SHOP G10, G/F, UNITED MANSION, 95-103 SHANGHAI STREET, JORDAN, KOWLOON
KWOK HING RENMINBI EXCHANGE SHOP|國興人民幣找換行|SHOP 113B OF WESTMOST SHOP, G/F, 113-115 KWONG FUK ROAD, TAI PO, NEW TERRITORIES
KWOK HOI YIN TRADING AS TOKO INDONESIA A MEI|郭海燕 營業名稱 美美印尼土產店|UNIT 4, G/F, HANG FU BUILDING, 38 YAU SAN STREET, YUEN LONG, NEW TERRITORIES
KWOK KANG YEE TRADING AS PO YUEN FOREIGN EXCHANGE|郭鏡義 營業名稱 寶源外幣找換店|SHOP 142A, G/F, MAN BO BUILDING, TUEN MUN, NEW TERRITORIES
KWOK NI TRADING AS NGAI LUEN MONEY EXCHANGE COMPANY|郭妮 營業名稱 銀聯找換公司|STAIRCASE 21 SAN TSOI STREET, SHEUNG SHUI, NEW TERRITORIES
KWOK SUI YING TRADING AS WING FUNG TAI|郭瑞英 營業名稱 永豐泰|G/F, 86 SUN HING STREET, CHEUNG CHAU, NEW TERRITORIES
KWOK YIM CHING TRADING AS INDONESIA FOOD RETAIL|郭艷青 營業名稱 南洋食品|SHOP 3, G/F, MAN PO BUILDING, SAN TSING STREET, TUEN MUN, NEW TERRITORIES
LADANG GUMELAR (HK) CO.|良田(香港)公司|FLAT 603, 6/F, BLOCK C, WESTLANDS GARDENS, 4 WESTLANDS ROAD, QUARRY BAY, HONG KONG
LAI A CUI TRADING AS TOKO INDONESIA SUKSES|黎亞翠|SHOP 220, 1/F, NGAU CHI WAN MARKET, NGAU CHI WAN, KOWLOON
LAI WAI KWAN|賴偉群 營業名稱 新光亞洲美食店|SHOP 86A, GLEE PATH PODIUM FLOOR, MEI FOO SUN CHUEN, PHASE PHASE III, LAI CHI KOK, KOWLOON
LAI YUN HO TRADING AS LIN FUN FOREIGN EXCHANGE COMPANY|賴潤浩 營業名稱 年豐找換行|G/F, 19A CAMERON ROAD, TSIM SHA TSUI, KOWLOON
LAI YUN HO TRADING AS WUI PO MONEY EXCHANGE CO|賴潤浩 營業名稱 滙寶找換行|G/F, SIDE SHOP GRANDMARK, 10 GRANVILLE RD, TSIM SHA TSUI, KOWLOON
LAI, MARIVIC MABBORANG TRADING AS QUEMCY|None|SHOP 55, 1/F, LAI BO BUILDING, NO. 2 TSING HO SQUARE, TUEN MUN, NEW TERRITORIES
LAM CHUN CHOI|林進財 營業名稱 順興人民幣找換店|SHOP A066, 1/F, NAN FUNG CENTRE, 264-298 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES
LAM CHUN LUNG TRADING AS 3 COMPANY|林俊龍 營業名稱 三得行|FLAT D1, 11/F, SUPREME INDUSTRIAL BUILDING, 15-17 SHAN MEI STREET, FO TAN SHA TIN, NEW TERRITORIES
LAM DIANA TRADING AS TOKO INDO POPER|None|G/F, 33 FIRST STREET, SAI YING PUN, HONG KONG
LAM GINA FLORES TRADING AS RICH STAR PHILIPPINE PRODUCTS|None|SHOP NO. 72, G/F, COME ON BUILDING, 387 CASTLE PEAK ROAD, TUEN MUN, NEW TERRITORIES
LAM HOI MAN TRADING AS SUNRISE MONEY EXCHANGE CO.|林凱雯 營業名稱 高昇人民幣找換|G/F, CHUNG PAK MANSION, 11A PAK HOI STREET, JORDAN, KOWLOON
LAM KAM TONG TRADING AS SAFETY COMPANY|林錦堂 營業名稱 卓安公司|G/F, 25A GRANVILLE ROAD, TSIM SHA TSUI, KOWLOON
LAM KAM TONG TRADING AS SAFETY COMPANY|林錦堂 營業名稱 卓安公司|STAIRCASE SHOP, 30-30A GRANVILLE ROAD, TSIM SHA TSUI, KOWLOON
LAM KAM TONG TRADING AS SAFETY COMPANY|林錦堂 營業名稱 卓安公司|STAIRCASE SHOP, G/F, 8 HANOI ROAD, TSIM SHA TSUI, KOWLOON
LAM KING TRADING AS PRINCE MONEY EXCHANGE|林競 營業名稱 太子人民幣(外幣)找換店|SHOP 59, G/F, LUNG MUN OASIS, TUEN MUN, NEW TERRITORIES
LAM KWOK WAI TRADING AS SAHABAT EXPRESS|林國威|SHOP A, G/F, 122 SAI WAN HO STREET, SHAU KEI WAN, HONG KONG
LAM LEE LOI TRADING AS G-THREE CONSULTANTS COMPANY|林利來 營業名稱 哲生顧問公司|SHOP 25, G/F, FAR EAST MANSION, 5-6 MIDDLE ROAD, TSIM SHA TSUI, KOWLOON
LAM LEE LOI TRADING AS G-THREE CONSULTANTS COMPANY|林利來 營業名稱 哲生顧問公司|SHOP 11, G/F, FAR EAST MANSION, 5-6 MIDDLE ROAD, TSIM SHA TSUI, KOWLOON
LAM SAI MING TRADING AS WING KA TRADING COMPANY|林世明 營業名稱 永嘉貿易公司|FLAT 2019, POK ON HOUSE, POK HONG ESTATE, SHA TIN, NEW TERRITORIES
LAM WING HAN TRADING AS TIFFANY FOREIGN EXCHANGE COMPANY|林詠嫻 營業名稱 天福找換店|FLAT 35, 3/F, SHATIN PLAZA, STTL189, SHA TIN, NEW TERRITORIES
LAM YING TONG TRADING AS HAPPING CHANGE|林映彤 營業名稱 開心找換店|SHOP B, G/F, 20 SHUNG LING STREET, SAN PO KONG, KOWLOON
LAM YU HANG|林宇恒 營業名稱 新盛泉東南亞食品|G/F, 236 KI LUNG STREET, SHAM SHUI PO, KOWLOON
LAM&#39;S BROTHER FOREIGN EXCHANGE LIMITED|林氏兄弟外幣兌換有限公司|UNIT A084, 1/F, NAN FUNG CENTRE, 264-298 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES
LAMA NABIN TRADING AS BEST TRADING HK CO.|None|G/F, 131 SHANGHAI STREET, YAU MA TEI, KOWLOON
LAPO LIMITED|None|SHOP B PORTION B4, G/F, 88 LOCKHART ROAD, WAN CHAI, HONG KONG
LAU CHIN YAU|劉展休 營業名稱 億豐人民幣找換行|G/F, 5A SAU FU STREET, YUEN LONG, NEW TERRITORIES
LAU CHIN YAU|劉展休 營業名稱 億豐人民幣找換行|SHOP A, G/F, LONGFIELD CENTRE, 129-131 CASTLE PEAK ROAD, YUEN LONG, NEW TERRITORIES
LAU CHIN YAU|劉展休 營業名稱 億豐人民幣找換行|SHOP F, G/F, 75 CASTLE PEAK ROAD, YUEN LONG, NEW TERRITORIES
LAU CHING CHE TRADING AS FULTON CO|劉清池 營業名稱 富東公司|FLAT B, 15/F, SUEN YUE BUILDING, 48 BONHAM STRAND WEST, SHEUNG WAN, HONG KONG
LAU KWAI CHEUNG TRADING AS FAMILYMAID EXPRESS|劉桂祥|FLAT D, 11/F, CAUSEWAY TOWER, 16-22 CAUSEWAY ROAD, CAUSEWAY BAY, HONG KONG
LAU MARISSA V. TRADING AS IDEAL PINOY SHOP|None|SHOP NO. 47, G/F, YUET WU VILLAGE, NO. 2 WU SAU STREET, TUEN MUN, NEW TERRITORIES
LAU SAU MEI TRADING AS CHOW HING HO RMB MONEY EXCHANGE|劉秀美 營業名稱 周興號人民幣找換店|G/F, 79 OAK STREET, TAI KOK TSUI, KOWLOON
LAU SIU LUN TRADING AS TONG KAM EXCHANGE CO|劉兆倫 營業名稱 中金兌換公司|ROOM 802, 8/F, WORKINGPORT COM&#39;L BLDG, 3 HAU FOOK ST, TSIM SHA TSUI, KOWLOON
LAW PING CHIU|羅炳潮 營業名稱 恒豐人民幣找換行|SHOP G15, WINNER MANSION, 23 NAM ON STREET, SHAU KEI WAN, HONG KONG
LAW WAN YI TRADING AS TOKO JAYA INDAH|羅韻怡 營業名稱 姐妹東南亞食品|SHOP 14-15, MA ON TERRACE MARKET, KAM YING COURT, MA ON SHAN, NEW TERRITORIES
LBC MABUHAY HONG KONG LIMITED|None|SHOP 319, 3/F, WORLD WIDE HOUSE, 19 DES VOEUX ROAD, CENTRAL, HONG KONG
LBC MABUHAY HONG KONG LIMITED|None|FLAT D-5/6, 1/F, PLANET SQUARE, 1-15 TAK MAN STREET, HUNG HOM, KOWLOON
LBC MABUHAY HONG KONG LIMITED|None|UNIT 1 &#38; 4, G/F, BLOCK B, HOI LUEN INDUSTRIAL CENTRE, NOS 55 HOI YUEN ROAD, KWUN TONG, KOWLOON
LBC MABUHAY HONG KONG LIMITED|None|SHOP 87A &#38; 87B, G/F, BLOCK 7-14, CITY GARDEN, 233 ELECTRIC ROAD, NORTH POINT, HONG KONG
LBC MABUHAY HONG KONG LIMITED|None|SHOP 260, 2/F, LIK SANG PLAZA, 269 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES
LEAD FIELD LIMITED|田星有限公司|FLAT 13C, 12/F, LANDMARK NORTH, 39 LUNG SUM AVENUE, SHEUNG SHUI, NEW TERRITORIES
LEAD FIELD LIMITED|田星有限公司|FLAT 1203A-1205, 12/F, LANDMARK NORTH, 39 LUNG SUM AVENUE, SHEUNG SHUI, NEW TERRITORIES
LEE DICK GOLD &#38; JEWELLERY LIMITED|李迪珠寶金行有限公司|SHOP C, 2 LUNG SUM AVENUE, SHEUNG SHUI, NEW TERRITORIES
LEE FONG CHING TRADING AS CLOVER EDUCATION|李方正 營業名稱 群菁教育|FLAT C, 3/F, JING YING BUILDING, 56 FOOK TAK STREET, YUEN LONG, NEW TERRITORIES
LEE KAM LUN|李錦璘 營業名稱 德勝什貨|SHOP 619-621, PO ON ROAD MUNICIPAL SERVICE BLDG, CHEUNG SHA WAN, KOWLOON
LEE LAI FAN TRADING AS SNACK ASIA|李麗芬 營業名稱 亞洲特色|G/F, 6 PAU CHUNG STREET, TO KWA WAN, KOWLOON
LEE LAI KWAN TRADING AS SHUN DA COMPANY|李麗君 營業名稱 順達公司|SHOP E (PORTION C), G/F, LEE FUNG BUILDING, 88 ARGYLE STREET, MONG KOK, KOWLOON
LEE NG TRADING AS TOKO LIMA|李五|STALL NO.32, HENG FA CHUEN WET MARKET, 100 SHING TAI ROAD, CHAI WAN, HONG KONG
LEE PING NAM TRADING AS KAHO EXCHANGE CO|李炳南 營業名稱 嘉浩找換公司|SHOP E, G/F, WEALTH COURT TSEUK LUK STREET, SAN PO KONG, KOWLOON
LEE WAI CHI CAROL TRADING AS SAYA MART COMPANY|李惠芝|SHOP 503 STALL 9, 5/F, CHI FU LANDMARK, POK FU LAM, HONG KONG
LEE WANG YIP TRADING AS SARI SARI STORE|李宏業|SHOP 9, G/F, TAK PO BUILDING, 64 PAU CHUNG STREET, TO KWA WAN, KOWLOON
LEE YI LEON TRADING AS YIDA TRADING COMPANY|李易 營業名稱 易達貿易公司|SHOP 79, 1/F, METRO SHAM SHUI, 226-242 CHEUNG SHA WAN RD, SHAM SHUI PO, KOWLOON
LEUNG CHUI YEE TRADING AS FAI TAT REMITTANCE|梁翠儀 營業名稱 快達匯款|FLAT D, G/F, 139 PRINCE EDWARD ROAD WEST, MONG KOK, KOWLOON
LEUNG CHUI YEE TRADING AS FAI TAT REMITTANCE|梁翠儀 營業名稱 快達匯款|FLAT D2, G/F, 135 PEI HO STREET, SHAM SHUI PO, KOWLOON
XIE MING TRADING AS CHINA &#38; H.K. RENMINBI EXCHANGE CO.|謝明 營業名稱 中港人民幣找換行|SHOP 19B, G/F, LEE FUNG BUILDING, 19 YIM PO FONG STREET, MONG KOK, KOWLOON
XTRANSFER LIMITED|信匯寶有限公司|UNIT 402, 4/F, FAIRMONT HSE, 8 COTTON TREE DRIVE, ADMIRALTY, HONG KONG
XU SHAOLING TRADING AS LEE YUEN RENMINBI EXCHANGE CO.|許少玲 營業名稱 利源人民幣找換行|SHOP 2, G/F, 69 WATERLOO ROAD, HO MAN TIN, KOWLOON
XUN HUI RMB MONEY EXCHANGE LIMITED|迅匯人民幣匯款有限公司|SHOP A3, G/F, BLOCK A, WING TAK BUILDING WEST WING, 9-11 WATERLOO ROAD, YAU MA TEI, KOWLOON
Y2P TECHNOLOGIES LIMITED|None|ROOM 1702, 17/F, 93-103 WING LOK STREET, SHEUNG WAN, HONG KONG
YAKI CHAMPION LIMITED TRADING AS Y.C.|貴族國際有限公司|ROOM A9, 3/F, BLOCK A, HONG KONG INDUSTRIAL CENTRE, 489-491 CASTLE PEAK ROAD, LAI CHI KOK, KOWLOON
YAN SAU FONG TRADING AS WIN WIN TRADING CO.|任秀芳 營業名稱 同盈貿易公司|UNIT 4A, G/F, KINGFORD IND CTR, 13 WANG HOI ROAD, KOWLOON BAY, KOWLOON
