gov_id|english_name|chinese_name,address|district|latitude|longitude|email|telephone|fax|placement_type|valid_license_since
516|WINWIN EMPLOYMENT CENTRE LIMITED|百惠僱傭中心有限公司|Shop 29, Ground floor, Laguna Arcade, Phase 3, Laguna City, Cha Kwo Ling Road, Lam Tin, Kowloon|Kwun Tong District|lat: 22.3059739|lng: 114.2281260|winmaids@hotmail.com|27276788|27172283|Foreign Domestic Helpers, Local Domestic Helpers|2005
517|Olivine Recruitment Services Limited|寶翠僱傭服務有限公司|Shop 19, Ground floor, Bank Building, 259-269 Des Voeux Road West, Sai Ying Pun, Hong Kong|Central and Western District|lat: 22.2881526|lng: 114.1410092|olivinehk@yahoo.com.hk|28191069|28160031|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2005
526|Happy Maids Employment Centre Limited|誼景僱傭中心有限公司|Unit 203, 2nd floor, Sam Cheong Building, 216-220 Des Voeux Road Central, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2861257|lng: 114.1529229|happy@happy-maids.com.hk|25259886|25259979|Foreign Domestic Helpers, Local Domestic Helpers|2005
530|JOB'S ARE US COMPANY LIMITED||Shop 11A, Ground floor, 118 Connaught Road West, 118 Connaught Road West, Sai Ying Pun, Hong Kong|Central and Western District|lat: 22.2882441|lng: 114.1445856|jobr_rus@yahoo.com|28700567/65858905|28700568|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2005
590|Po Sing Employment Service Centre Limited|保誠僱傭中心有限公司|Shop I, Ground floor, Continental Mansion, 294 King's Road, North Point, Hong Kong|Eastern District|lat: 22.2899250|lng: 114.1954130|posingemployment@gmail.com|29293232|25663720|Foreign Domestic Helpers, Local Domestic Helpers|2005
629|HAPPY YO YO OVERSEA EMPLOYMENT AGENCY|樂瑤海外僱傭公司|Shop 1A7, Ground floor, Whampoa Estate, 99-109 Dock Street, Hung Hom, Kowloon|Kowloon City District|lat: 22.3062259|lng: 114.1869537|info@happyyoyo.com.hk|29945459|23030540|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2006
633|Convoy Employment Consultant Limited|盈安僱傭顧問有限公司|Room C, 1st floor, King Fung Building, 60-62 Kwong Fuk Road, Tai Po, New Territories|Tai Po District|lat: 22.4488453|lng: 114.1665300|convoyempl@gmail.com|26581319|30072233|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2006
774|GOLDEN MOON EMPLOYMENT CO.|金滿僱傭公司|Shop 55, 1st floor, Hop Yick Commercial Centre, 33 Hop Choi Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4424569|lng: 114.0300934|goldenmoonco@ymail.com|24783322|34849683|Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|2008
846|MISSION EMPLOYMENT AGENCY LIMITED|盟信僱傭有限公司|Shop 163, Level 1, Metro City Plaza Phase 3, MCP Discovery, 8 Mau Yip Road, Tseung Kwan O, New Territories|Sai Kung District|lat: 22.3224182|lng: 114.2568564|missiontko@biznetvigator.com|28112168|28112608|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2018
847|MISSION EMPLOYMENT AGENCY LIMITED|盟信僱傭有限公司|Shop 206A, Level 2, Homantin Plaza, Ho Man Tin, Kowloon|Kowloon City District|lat: 22.3160893|lng: 114.1817005|missionhmt@gmail.com|39051888|39092827|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search, Other Non-office Worker|2018
848|MISSION EMPLOYMENT AGENCY LIMITED|盟信僱傭有限公司|Shop G20, Plaza Ascot, 1 Lok King Road, Fo Tan, New Territories|Sha Tin District|lat: 22.3989480|lng: 114.2013260|meafotan@gmail.com| | |Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2019
849|MISSION EMPLOYMENT AGENCY LIMITED|盟信僱傭有限公司|Room 3B, Ground floor, Kam Lung Mansion, 22 Fung Kam Street, Yuen Long, New Territories|Yuen Long District|lat: 22.4433294|lng: 114.0336786|missionyuenlong@gmail.com|90113125| |Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2018
877|MASS TRINITY INTERNATIONAL LIMITED|萬通國際有限公司|Room 706, 7th floor, Tung Ming Building, 40-42 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2831546|lng: 114.1566255|topservices.co@gmail.com|25257512|28681960|Foreign Domestic Helpers, Local Domestic Helpers|2009
884|SOURCENET OVERSEAS EMPLOYMENT SERVICES (HONG KONG)|源網海外僱佣服務(香港)|Flat 603, 6th floor, Sunny House, 12-16 Li Yuen Street West, Central, Hong Kong|Central and Western District|lat: 22.2831074|lng: 114.1560430|sourcenethk@hotmail.com|34823443| |Foreign Domestic Helpers, Local Domestic Helpers|2009
908|AMAHSEARCH LIMITED|搜傭有限公司|Room 1003-1004, 10th floor, Yat Fat Building, 44-46 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2832374|lng: 114.1565922|info@amahsearch.com|29150031|39091811|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2009
944|AA Plus Employment Agency Company Limited|海晴僱傭代理有限公司|Shop 40, Ground floor, Block 10, City Garden Shopping Centre, 233 Electric Road, North Point, Hong Kong|Eastern District|lat: 22.2909785|lng: 114.1948386|evaaaplus@yahoo.com.hk|25031689|28062908|Foreign Domestic Helpers|2010
954|CILIWUNG LIMITED|吉利旺有限公司|Rear Portion, 1st floor, Wing Mui Building, 149 Sai Yee Street, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3218035|lng: 114.1710095|ciliwungltdhk@gmail.com|28902106|25774515|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2010
960|Bright International Services Co.|碧圖國際僱傭公司|Shop UG46B, Upper Ground floor, Laguna Mall, 8 Laguna Verde Avenue, Hung Hom, Kowloon|Kowloon City District|lat: 22.3087640|lng: 114.1919900|thomaschan_bright@yahoo.com|23303360|23309205|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2010
974|Andy & Master Human Resources Consultant Co. Limited|百事達僱傭中心有限公司|Room 702, 7th floor, Sunny House, 12-16 Li Yuen Street West, Central, Hong Kong|Central and Western District|lat: 22.2831074|lng: 114.1560430|inquiry@hkhousekeeper.com|24300045|35477949|Foreign Domestic Helpers|2010
1057|FURTHER CREATION EMPLOYMENT CENTRE|富達僱傭中心|Room 1709-10, 17th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong|Central and Western District|lat: 22.2826055|lng: 114.1556210|cs@furthercreation.com|25228071|28697900|Foreign Domestic Helpers, Local Domestic Helpers|2011
1059|FURTHER CREATION EMPLOYMENT CENTRE|富達僱傭中心|Flat A, 15th floor, Prosperous Commercial Building, 54 Jardine's Bazaar, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2793355|lng: 114.1858034|cs@furthercreation.com|25228071|28697900|Foreign Domestic Helpers, Local Domestic Helpers|2013
1075|Legend Gurkhas Services Limited||Unit 1, 17th floor, Justen Centre, 44-52 Wai Ching Street, Jordan, Kowloon|Yau Tsim Mong District|lat: 22.3069775|lng: 114.1676695|legendgurkhas@biznetvigator.com|25170500| |Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search, Other Non-office Worker|2011
1109|C.A.N.A. PLACEMENT SERVICES LIMITED|家傭僱請中心有限公司|Shop 88, Ground floor, Eastern Plaza, Koway Court, 111 Chai Wan Road, Chai Wan, Hong Kong|Eastern District|lat: 22.3964280|lng: 114.1094970|canaplacement88@yahoo.com|93751932|24207778|Foreign Domestic Helpers, Local Domestic Helpers|2011
1116|Joe Employment (Oversea) Agency Co|寶盈(海外)僱傭服務中心|Shop B27, 1st floor, Richly Plaza, Kingswood Villas, Tin Shui Wai, New Territories|Yuen Long District|lat: 22.4579826|lng: 113.9991517|joefong60887726@yahoo.com.hk|81086368|31549372|Foreign Domestic Helpers, Local Domestic Helpers|2011
1118|Best Wealth Consultant and Trading Co.|碧樺僱傭公司|Room 1106, 11th floor, Wayson Commercial Building, 28 Connaught Road West, Sheung Wan, Hong Kong|Central and Western District|lat: 22.2878030|lng: 114.1489390|bwcagency@yahoo.com|34604138|30116033|Foreign Domestic Helpers, Local Domestic Helpers|2011
1120|ASIA EXPANSION LIMITED|亞洲拓展僱傭有限公司|Unit B, 17th floor, Wang Cheong Commercial Building, 251 Reclamation Street, Yau Ma Tei, Kowloon|Yau Tsim Mong District|lat: 22.3144092|lng: 114.1685942|asia_expansion@yahoo.com.hk|21910199|30201825|Foreign Domestic Helpers, Local Domestic Helpers|2011
1129|MADAM JOE PROFESSIONAL DOMESTIC SERVICES COMPANY|慧群專業僱傭服務公司|Room 501, 5th floor, General Commercial Building, 156-164 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2854738|lng: 114.1542413|madamjoeagency@yahoo.com.hk|25410668|35202170|Foreign Domestic Helpers|2011
1131|EAST ASIA BRIDGE CONSULT LIMITED|東亞橋樑人才有限公司|Room 0079, Ground floor, Smiling Shau Kei Wan Plaza, 360A Shau Kei Wan Road, Shau Kei Wan, Hong Kong|Eastern District|lat: 22.2783670|lng: 114.2264961|andy@eabridge.com|25686518|25686598|Foreign Domestic Helpers, Local Domestic Helpers|2011
1137|RESPECT EMPLOYMENT SERVICES CENTRE|護家僱傭服務中心|Flat J, 18th floor, Block 3, Golden Dragon Industrial Centre, 172-180 Tai Lin Pai Road, Kwai Chung, New Territories|Kwai Tsing District|lat: 22.3579856|lng: 114.1308914|respect.esc@gmail.com|31580708|31580709|Foreign Domestic Helpers|2011
1166|WELL GURKHA EMPLOYMENT AND CONSULTANCY|WELL GURKHA EMPLOYMENT ANDCONSULTANCY|Room J, 13th floor, New Lucky House, 15 Jordan Road, Jordan, Kowloon|Yau Tsim Mong District|lat: 22.3056981|lng: 114.1719054|wellgurkha@yahoo.com|68907705|36902875|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Other Non-office Worker|2011
1173|HOME FIRST EMPLOYMENT CENTRE|第一家僱傭中心|Flat 603, 6th floor, Kowloon Bay Industrial Centre, 15 Wang Hoi Road, Kowloon Bay, Kowloon|Kwun Tong District|lat: 22.3230134|lng: 114.2105362|homefirstemployment@yahoo.com.hk|23031336|23031339|Foreign Domestic Helpers, Local Domestic Helpers|2011
1174|HOME FIRST EMPLOYMENT CENTRE|第一家僱傭中心|Shop 16, Ground floor, Holford Gardens, 2-8 Chik Wan Street, Tai Wai, Shatin, New Territories|Sha Tin District|lat: 22.3731627|lng: 114.1759366|homefirstemployment@gmail.com|23031336|23031339|Foreign Domestic Helpers, Local Domestic Helpers|2018
1190|BILLION WAY OVERSEAS EMPLOYMENT AGENCY LIMITED|佰威海外僱傭有限公司|Room 1203, 12th floor, Block B, Kin Lee Building, 130-146 Jaffe Road, Wan Chai, Hong Kong|Wan Chai District|lat: 22.2786165|lng: 114.1737105|billionway@hotmail.com|28111732|28111731|Foreign Domestic Helpers, Local Domestic Helpers|2012
1217|Home Brilliant Domestic Helpers Centre Trading Company Limited|家亨僱傭中心貿易有限公司|Flat C3, 4th floor, Block C, Paterson Building, 37 Paterson Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2809264|lng: 114.1852737|homebdhc@hotmail.com|28953885| |Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search, Other Non-office Worker|2012
1224|Radiant Maid Agency Service Limited|樂陽僱傭服務中心有限公司|Rear Portion, 11th floor, Nathan Apartments, 512 Nathan Road, Yau Ma Tei, Kowloon|Yau Tsim Mong District|lat: 22.3121893|lng: 114.1710078|hkrmas@gmail.com|27800037|27800050|Foreign Domestic Helpers, Local Domestic Helpers|2012
1235|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|碧藍僱傭服務有限公司|Room 606 & 705, 6th floor & 7th floor, Tung Ming Building, 40-42 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2831546|lng: 114.1566255|topservices.co@gmail.com|25257512|28681960|Foreign Domestic Helpers, Local Domestic Helpers|2012
1277|LIANG IK COMPANY|兩益公司|Room 301A, 3rd floor, McDonald's Building, 46-54 Yee Wo Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2795382|lng: 114.1858988|info@liangik.com|28910100|28666613|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2012
1291|Bobymark Employment Agency|小白兔僱傭公司|Room 2105-6, 21st floor, Far East Consortium Building, 121 Des Voeux Road Central, Central, Hong Kong|Central and Western District|lat: 22.2850745|lng: 114.1556200|info@bobymark.com|29097636|29097601|Foreign Domestic Helpers, Local Domestic Helpers|2012
1293|Silver Ocean Manpower Services Company|銀海人力資源服務公司|Shop 63B, Ground floor, Site 2, Charming Garden, 8 Hoi Ting Road, Mong Kok, Kowloon|Yau Tsim Mong District|lat: 22.3145320|lng: 114.1658107|gigilau127@gmail.com|98788836| |Foreign Domestic Helpers, Office Staff / Executive Search|2012
1298|TY OVERSEAS EMPLOYMENT SERVICES|天逸居海外僱傭服務|Shop 142, 1st floor, Fullview Garden Shopping Centre, 18 Siu Sai Wan Road, Siu Sai Wan, Hong Kong|Eastern District|lat: 22.2627190|lng: 114.2517300|eva@ty-maid.com.hk|39745255|39745266|Foreign Domestic Helpers, Local Domestic Helpers|2012
1323|SMART EMPLOYMENT & CONSULTANCY|致盛顧問|Room 33, 7th floor, Beverley Commercial Centre, 87-105 Chatham Road South, Tsim Sha Tsui, Kowloon|Yau Tsim Mong District|lat: 22.3014200|lng: 114.1759710|smart_enc@yahoo.com|26173392|26173278|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2012
1389|Sweet Home Indonesian Manpower Agency|安樂印尼僱佣服務中心|Unit C, 12th floor, Prosperous Commercial Building, 54 Jardine's Bazaar, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2793355|lng: 114.1858034|sweethomehk88@yahoo.com|28349081|28340061|Foreign Domestic Helpers, Local Domestic Helpers|2013
1420|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|暖之家僱傭服務中心有限公司|No. 116, 1st floor, Kwong Fuk Building, 114-124 Kwong Fuk Road, Tai Po, New Territories|Tai Po District|lat: 22.4494441|lng: 114.1656955|maggie@asia-ex.com.hk|23634444| |Foreign Domestic Helpers, Local Domestic Helpers|2013
1421|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|暖之家僱傭服務中心有限公司|Room 69, 2nd floor, Houston Centre, 63 Mody Road, Tsim Sha Tsui East, Kowloon|Yau Tsim Mong District|lat: 22.2980295|lng: 114.1768655|maggie@warmhouse.com.hk|35260003|22468311|Foreign Domestic Helpers, Local Domestic Helpers|2013
1425|KAMPO EMPLOYMENT AGENCY|金寶僱傭中心|Shop 49B, Ground floor, Belvedere Square, Belvedere Garden Phase 3, 625 Castle Peak Road, Tsuen Wan, New Territories|Tsuen Wan District|lat: 22.3716590|lng: 114.1014958|kampo.agency@gmail.com|21806475| |Foreign Domestic Helpers, Local Domestic Helpers|2015
1461|ACTIVE GLOBAL SPECIALISED CAREGIVERS (HONG KONG) PTE LIMITED|活力國際專業護理有限公司|Unit 1703-04, 17th floor, Lucky Centre, 165-171 Wan Chai Road, Wan Chai, Hong Kong|Wan Chai District|lat: 22.2756881|lng: 114.1774268|hk@activeglobalcaregiver.com|34262909|30139815|Foreign Domestic Helpers, Other Non-office Worker|2013
1466|HT EMPLOYMENT CENTRE LIMITED|海達僱傭中心有限公司|Shop 2, Ground floor, Chung Nam Mansion, 88 Ma Tau Chung Road, To Kwa Wan, Kowloon|Kowloon City District|lat: 22.3231310|lng: 114.1882971|info@htec.com.hk|31140038|31140197|Foreign Domestic Helpers, Imported Worker, Office Staff / Executive Search|2013
1480|Wing On Human Resources Limited|永安人力資源有限公司|Room 1102, 11th floor, Lucky Commercial Centre, 103 Des Voeux Road West, Sai Ying Pun, Hong Kong|Central and Western District|lat: 22.2879785|lng: 114.1450269|louis@wingonprofessional.com|25438391|28543560|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2013
1498|J & G Happy Maids Employment Agency and General Merchandising|J & G Happy Maids Employment Agencyand General Merchandising|Shop 283, 2nd floor, CKE Shopping Mall, 36-44 Nathan Road, Tsim Sha Tsui, Kowloon|Yau Tsim Mong District|lat: 22.2964937|lng: 114.1727521| | | |Foreign Domestic Helpers, Local Domestic Helpers|2013
1505|NAOMI EMPLOYMENT COMPANY|金橋僱傭公司|Shop 114, 1st floor, Blocks 1, 2 & 3, City Garden, 233 Electric Road, North Point, Hong Kong|Eastern District|lat: 22.2909785|lng: 114.1948386|naomicitygarden@yahoo.com.hk|22719994|22719995|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2013
1542|HAPPY SPRING CARE SERVICE COMPANY|春樂護理服務公司|Flat K, 14th floor, Ho King Building, 116 Yuen Long On Ning Road, Yuen Long, New Territories|Yuen Long District|lat: 22.4463010|lng: 114.0239626| | | |Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Other Non-office Worker|2014
1578|EDELWEISS EMPLOYMENT SERVICES COMPANY LIMITED|天慈僱傭服務有限公司|Shop 211, 2nd floor, Causeway Bay Centre, 15-23 Sugar Street, Causeway Bay, Hong Kong|Wan Chai District|lat: 22.2799870|lng: 114.1866830|edelweissemployment@gmail.com|36899043|36899078|Foreign Domestic Helpers, Office Staff / Executive Search|2014
1586|SINDHU EMPLOYMENT MANAGEMENT SERVICES|SINDHU EMPLOYMENT MANAGEMENTSERVICES|Room 406B, 4th floor, Mirror Tower, 61 Mody Road, Tsim Sha Tsui East, Kowloon|Yau Tsim Mong District|lat: 22.2975335|lng: 114.1765104|cnc8@gmail.com|37499221| |Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search, Other Non-office Worker|2014
